Region,Subregion,UNODC Name,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Africa,Southern Africa,Swaziland,WHO,, 18.8 , 13.0 , 13.2 , 13.3 , 13.7 , 10.8 , 14.9 , 18.7 , 15.8 , 17.3 ,,,,,,
Africa,Western Africa,Benin,WHO Estimate, 7.3 ,,,,, 7.2 ,,,,, 6.6 ,,,,, 6.2 ,
Africa,Western Africa,Burkina Faso,NSO,,, 0.6 , 0.6 , 0.6 , 0.5 , 0.5 , 0.7 , 0.7 , 0.5 , 0.6 , 0.5 , 0.5 , 0.7 , 0.8 , 0.4 ,
Africa,Western Africa,Cabo Verde,NP/CTS,,,, 3.3 , 4.5 , 9.3 , 7.3 , 6.0 , 6.9 , 7.6 , 7.8 , 10.4 , 10.9 , 10.4 , 12.3 , 8.6 , 11.5
Africa,Western Africa,C�te d'Ivoire,WHO Estimate, 16.1 ,,,,, 14.7 ,,,,, 12.6 ,,,,, 11.6 ,
Africa,Western Africa,Gambia,WHO Estimate, 12.4 ,,,,, 9.8 ,,,,, 9.8 ,,,,, 9.1 ,
Africa,Western Africa,Ghana,WHO,, 2.2 , 2.0 , 2.1 , 2.2 , 1.8 , 1.9 , 1.8 , 1.8 , 1.8 , 1.7 , 1.7 ,,,,,
Africa,Western Africa,Guinea,WHO Estimate, 10.9 ,,,,, 10.1 ,,,,, 9.4 ,,,,, 8.8 ,
Africa,Western Africa,Guinea-Bissau,WHO Estimate, 13.0 ,,,,, 11.7 ,,,,, 10.5 ,,,,, 9.5 ,
Africa,Western Africa,Liberia,UNMIL,,,,,,,, 2.8 , 4.8 , 3.8 , 3.3 , 4.0 , 3.2 ,,,,
Africa,Western Africa,Mali,WHO Estimate, 12.9 ,,,,, 12.7 ,,,,, 12.2 ,,,,, 10.9 ,
Africa,Western Africa,Mauritania,WHO Estimate, 13.7 ,,,,, 12.4 ,,,,, 10.9 ,,,,, 9.9 ,
Africa,Western Africa,Niger,WHO,,,,,,,,,,,, 4.9 , 4.4 ,,,,
Africa,Western Africa,Nigeria,WHO Estimate, 12.8 ,,,,, 11.8 ,,,,, 10.7 ,,,,, 9.8 ,
Africa,Western Africa,Saint Helena,NSO, -   , -   , -   , -   , 22.7 , -   , -   , -   , -   , -   ,,,,,,,
Africa,Western Africa,Senegal,WHO Estimate, 10.0 ,,,,, 9.3 ,,,,, 8.5 ,,,,, 7.4 ,
Africa,Western Africa,Sierra Leone,UNSDC/NP/SDG,,,,, 2.1 , 1.7 , 1.7 , 2.2 , 3.0 , 2.5 , 2.5 , 2.8 , 1.7 ,,, 1.7 ,
Africa,Western Africa,Togo,WHO Estimate, 10.5 ,,,,, 10.7 ,,,,, 9.6 ,,,,, 9.0 ,
