Region,Subregion,UNODC Name,Source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Asia,Western Asia,Azerbaijan,UNSDC/CTS, 2.8 , 2.7 , 2.6 , 2.2 , 2.4 , 2.2 , 2.2 , 2.2 , 2.2 ,, 2.3 ,, 2.2 , 2.4 , 2.5 ,, 2.1
Asia,Western Asia,Bahrain,UNSDC/CTS/NP/MD,, 1.3 , 1.1 , 0.4 , 0.8 , 0.4 , 0.7 , 0.4 , 0.5 , 1.1 , 0.9 , 0.5 , 0.3 , 0.4 , 0.5 ,,
Asia,Western Asia,Cyprus,EUR/UNSDC/CTS, 0.8 , 0.7 , 0.2 , 1.4 , 1.6 , 1.9 , 1.4 , 1.2 , 0.8 , 1.7 , 0.7 , 0.8 , 1.9 , 1.0 , 1.0 , 1.3 , 1.1
Asia,Western Asia,Georgia,UNSDC/TSMNEE/CTS, 5.1 , 5.6 , 6.3 , 6.6 , 6.6 , 9.0 , 7.3 , 7.5 , 6.1 , 4.9 , 4.4 ,,,, 2.7 ,, 1.0
Asia,Western Asia,Iraq**,CTS,,,,,,,,, 15.8 , 8.5 , 8.7 , 8.3 , 8.2 , 9.9 ,,,
Asia,Western Asia,Iraq (Central Iraq)**,CTS,,,,,,,,, 17.9 , 9.6 , 9.7 , 9.3 , 9.2 , 11.1 , 10.1 ,,
Asia,Western Asia,Iraq (Kurdistan Region)**,CTS,,,,,,,,, 3.3 , 2.2 , 3.0 , 2.5 , 2.1 , 2.2 ,,,
Asia,Western Asia,Israel,NSO/CTS/SDG, 2.4 , 3.6 , 3.6 , 3.1 , 2.7 , 2.5 , 2.7 , 1.8 , 1.9 , 1.8 , 2.0 , 2.0 , 1.7 ,, 1.5 , 1.4 ,
Asia,Western Asia,Jordan,CTS/SDG/NP,,,,,, 1.2 , 1.7 , 1.8 , 1.8 , 1.5 , 1.6 , 1.9 , 2.0 , 1.7 , 2.0 , 1.7 , 1.5
Asia,Western Asia,Kuwait,UNSDC/NP/CTS,, 1.8 , 1.1 , 1.3 , 1.9 , 1.8 , 1.9 , 2.4 , 1.4 , 1.7 , 2.0 , 1.8 , 1.8 ,,,,
Asia,Western Asia,Lebanon,CTS,,,,,,,,, 4.5 , 3.5 , 3.8 , 3.7 , 3.9 , 4.5 , 4.3 , 3.9 , 4.0
Asia,Western Asia,Oman,NSO,,, 1.2 , 1.5 , 1.7 , 2.1 , 4.7 , 1.4 , 1.7 , 1.3 , 1.6 , 1.1 , 1.1 , 2.6 , 0.7 ,,
Asia,Western Asia,Qatar,UNSDC/MD, 0.2 , 0.8 ,,, 0.7 , 0.7 , 0.5 , 0.8 , 0.9 , 0.5 , 0.2 , 0.2 , 0.3 , 0.4 , 0.4 ,,
Asia,Western Asia,Saudi Arabia,NSO/CTS, 0.8 , 1.1 , 1.3 , 1.1 , 1.3 , 1.2 , 1.0 , 1.0 ,,,,,,,, 1.5 ,
Asia,Western Asia,State of Palestine,CTS/SDG,,,, 2.7 , 2.7 , 2.4 ,,, 1.2 , 1.1 , 0.8 , 0.6 , 0.6 , 0.5 , 0.8 , 1.0 , 0.7
Asia,Western Asia,Syrian Arab Republic,NSO, 2.2 , 2.2 , 2.2 , 2.3 , 2.4 , 2.4 , 2.4 , 2.7 , 2.6 , 2.3 , 2.2 ,,,,,,
Asia,Western Asia,Turkey,CTS,,,, 4.3 , 4.3 , 4.9 , 4.6 , 5.2 , 4.6 , 5.2 , 4.2 , 4.2 , 4.3 ,,,,
Asia,Western Asia,United Arab Emirates,CTS,,,, 1.2 , 0.7 , 1.2 , 0.7 ,,,, 0.8 , 0.6 , 0.8 , 0.6 , 0.7 , 0.7 , 0.9
Asia,Western Asia,Yemen,UNSDC/NSO/CTS, 3.9 ,,, 3.6 , 3.2 , 4.6 , 4.2 , 3.9 , 3.9 , 4.3 , 4.7 , 5.7 , 6.5 , 6.7 ,,,
Europe,Eastern Europe,Belarus,UNSDC/CTS, 10.2 , 9.8 , 10.1 , 9.0 , 8.4 , 8.6 , 7.7 , 6.8 , 5.7 , 5.1 , 4.2 , 3.9 , 3.6 , 3.5 , 3.6 ,,
Europe,Eastern Europe,Bulgaria,UNSDC/EUR/CTS, 4.2 , 3.9 , 3.2 , 3.2 , 3.2 , 2.6 , 2.4 , 2.3 , 2.3 , 2.0 , 2.0 , 1.7 , 1.9 , 1.5 , 1.6 , 1.8 , 1.1
Europe,Eastern Europe,Czechia,UNSDC/CTS, 1.8 , 1.4 , 1.5 , 1.6 , 1.3 , 1.1 , 1.3 , 1.2 , 1.1 , 0.9 , 1.0 , 0.8 , 1.0 , 0.8 , 0.8 , 0.8 , 0.6
Europe,Eastern Europe,Hungary,UNSDC/CTS, 2.0 , 2.5 , 2.0 , 2.2 , 2.1 , 1.6 , 1.7 , 1.5 , 1.8 , 1.4 , 1.4 , 1.5 , 1.3 , 1.6 , 1.5 , 2.3 , 2.1
Europe,Eastern Europe,Poland#,EUR/UNSDC/CTS, 2.2 , 2.0 , 1.9 , 1.7 , 1.6 , 1.4 , 1.3 , 1.4 , 1.2 , 1.3 , 1.1 , 1.2 , 1.0 , 0.8 , 0.7 , 0.8 , 0.7
Europe,Eastern Europe,Republic of Moldova,UNSDC/CTS, 10.3 , 9.8 , 9.6 , 7.6 , 6.6 , 7.1 , 6.3 , 5.3 , 5.7 , 6.0 , 6.5 , 7.5 , 5.6 , 4.2 , 3.2 ,,
Europe,Eastern Europe,Romania#,SDG/UNSDC/CTS, 2.6 , 2.7 , 2.6 , 2.5 , 2.4 , 2.1 , 2.1 , 2.0 , 2.3 , 1.9 , 2.0 , 1.7 , 1.9 , 1.7 , 1.5 , 1.5 , 1.2
Europe,Eastern Europe,Russian Federation##,NSO/CTS, 28.1 , 29.4 , 30.5 , 28.9 , 27.3 , 24.8 , 20.1 , 17.7 , 16.6 , 14.9 ,,,, 11.0 , 11.3 , 11.5 , 10.8
Europe,Eastern Europe,Slovakia,SDG, 2.4 , 2.2 , 2.2 , 2.5 , 2.0 , 1.7 , 1.5 , 1.5 , 1.6 , 1.4 , 1.5 , 1.6 , 1.2 , 1.3 , 1.3 , 0.8 , 1.0
Europe,Eastern Europe,Ukraine,UNSDC/TSMNEE/CTS/DMDB, 9.0 , 10.0 , 9.0 , 8.5 , 7.4 , 6.5 , 6.3 , 5.7 , 5.3 , 4.9 , 4.3 ,, 5.2 ,, 6.3 ,,
Europe,Northern Europe,Channel Islands,NP,,,,,, 0.6 , 1.3 ,, 0.6 ,, -   ,,,,,,
Europe,Northern Europe,Denmark,UNSDC/CTS, 1.1 , 1.0 , 1.0 , 1.2 , 0.8 , 1.0 , 0.5 , 0.7 , 1.0 , 0.9 , 0.8 , 0.8 , 0.8 , 0.9 , 1.3 , 1.0 , 1.0
Europe,Northern Europe,Estonia,UNSDC/EUR/CTS, 10.2 , 9.8 , 10.3 , 10.7 , 6.7 , 8.3 , 6.7 , 7.1 , 6.4 , 5.2 , 5.3 , 4.9 , 4.8 , 3.9 , 3.1 , 3.2 ,
Europe,Northern Europe,Finland,UNSDC/CTS, 2.9 , 3.0 , 2.5 , 2.0 , 2.8 , 2.3 , 2.3 , 2.4 , 2.5 , 2.2 , 2.2 , 2.0 , 1.6 , 1.6 , 1.6 , 1.5 , 1.4
Europe,Northern Europe,Iceland,UNSDC/CTS, 1.8 , 0.4 , 1.4 , -   , 1.0 , 1.0 , -   , 0.7 , -   , 0.3 , 0.6 , 0.9 , 0.3 , 0.3 , 0.6 , 0.9 , 0.3
Europe,Northern Europe,Ireland,NP/NSO/CTS, 1.0 , 1.3 , 1.3 , 0.9 , 0.7 , 1.2 , 1.4 , 1.8 , 1.1 , 1.2 , 1.1 , 0.9 , 1.1 , 1.1 , 1.1 , 0.6 , 0.8
Europe,Northern Europe,Isle of Man,NP,,,,,,,,,,,, 1.2 , 2.5 , 2.4 , 3.6 , 1.2 , -
Europe,Northern Europe,Latvia,UNSDC/CTS, 10.0 , 9.3 , 9.2 , 8.8 , 7.9 , 5.6 , 5.8 , 4.3 , 4.6 , 5.0 , 3.3 , 3.3 , 3.4 , 2.5 , 3.2 , 3.4 ,
Europe,Northern Europe,Lithuania,UNSDC/CTS, 10.6 , 10.2 , 8.5 , 10.1 , 10.1 , 11.1 , 8.7 , 8.5 , 9.3 , 8.0 , 7.0 , 6.9 , 6.7 , 6.6 , 5.4 , 5.9 , 5.2
Europe,Northern Europe,Norway,SDG/EUR/CTS, 1.1 , 0.8 , 1.0 , 1.1 , 0.8 , 0.7 , 0.7 , 0.6 , 0.7 , 0.6 , 0.6 , 2.2 , 0.5 , 0.9 , 0.6 , 0.5 , 0.5
Europe,Northern Europe,Sweden,NCCP/CTS, 1.1 , 1.0 , 1.1 , 0.9 , 1.2 , 0.9 , 1.0 , 1.2 , 0.9 , 1.0 , 1.0 , 0.9 , 0.7 , 0.9 , 0.9 , 1.1 , 1.1
Europe,Northern Europe,United Kingdom (England and Wales),UNSDC/SDG/CTS, 1.5 , 1.5 , 1.8 , 1.5 , 1.5 , 1.3 , 1.3 , 1.3 , 1.2 , 1.1 , 1.1 , 0.9 , 1.0 , 0.9 , 0.9 , 1.0 , 1.2
Europe,Northern Europe,United Kingdom (Northern Ireland),SDG/CTS, 2.7 , 3.4 , 2.2 , 2.5 , 2.0 , 1.8 , 1.7 , 1.6 , 1.3 , 1.6 , 1.3 , 1.2 , 1.2 , 1.1 , 0.9 , 1.2 , 1.0
Europe,Northern Europe,United Kingdom (Scotland),SDG/CTS, 2.1 , 2.3 , 2.5 , 2.2 , 2.7 , 1.9 , 2.3 , 2.2 , 1.9 , 1.6 , 1.9 , 1.8 , 1.2 , 1.2 , 1.2 , 1.1 , 1.2
Europe,Northern Europe,United Kingdom of Great Britain and Northern Ireland,CTS, 1.6 , 1.6 , 1.9 , 1.6 , 1.6 , 1.4 , 1.4 , 1.4 , 1.2 , 1.1 , 1.2 , 1.0 , 1.0 , 0.9 , 0.9 , 1.0 , 1.2
Europe,Southern Europe,Albania,MD/CTS, 4.2 , 7.0 , 6.9 , 5.3 , 4.2 , 5.0 , 3.1 , 3.5 , 3.1 , 2.9 , 4.3 , 4.9 , 5.4 , 4.2 , 4.0 , 2.3 , 2.7
Europe,Southern Europe,Andorra,INTP/CTS,,,,, 1.3 ,,, -   , 1.2 , -   , -   , 1.2 , -   , -   , -   , -   ,
Europe,Southern Europe,Bosnia and Herzegovina,UNECE/INTP/CTS, 2.6 , 2.2 , 2.4 ,, 1.8 , 1.9 , 1.9 , 1.7 , 1.8 , 1.9 , 1.5 , 1.4 , 1.7 , 1.3 , 1.4 , 1.6 , 1.3
Europe,Southern Europe,Croatia,MOI/CTS, 2.3 , 1.8 , 1.7 , 1.6 , 1.9 , 1.6 , 1.7 , 1.4 , 1.6 , 1.1 , 1.4 , 1.1 , 1.2 , 1.1 , 0.8 , 0.9 , 1.0
Europe,Southern Europe,Gibraltar,NP,,,,,,,,,, -   , 3.0 ,,,,,,
Europe,Southern Europe,Greece,EUR/CTS,, 1.2 , 0.8 , 1.1 , 1.0 , 1.2 , 1.0 , 1.1 , 1.3 , 1.3 , 1.5 , 1.6 , 1.5 , 1.4 , 0.9 , 0.8 , 0.8
Europe,Southern Europe,Holy See,CTS,,,,,,,,,, -   , -   , -   , -   , -   , -   , -   ,
Europe,Southern Europe,Italy,UNSDC/CTS, 1.3 , 1.2 , 1.1 , 1.2 , 1.2 , 1.0 , 1.1 , 1.1 , 1.0 , 1.0 , 0.9 , 0.9 , 0.9 , 0.8 , 0.8 , 0.8 , 0.7
Europe,Southern Europe,Kosovo under UNSCR 1244,CTS,,,,,,,,, 6.5 , 4.1 , 6.0 , 3.5 , 5.0 , 2.2 , 2.3 , 1.7 , 1.6
Europe,Southern Europe,Malta,EUR/UNSDC/CTS, 1.0 , 1.5 , 1.5 , -   , 1.7 , 1.0 , -   , 1.0 , 1.5 , 1.0 , 1.0 , 0.7 , 2.9 , 1.7 , 1.4 , 0.9 ,
Europe,Southern Europe,Montenegro,EUR/CTS,,, 4.4 , 3.3 , 2.3 , 3.6 , 4.0 , 1.9 , 3.9 , 3.4 , 2.4 , 3.4 , 2.7 , 1.6 , 3.2 , 2.7 , 4.5
Europe,Southern Europe,Portugal,EUR/CTS/SDG, 1.1 , 1.0 , 1.1 , 1.4 , 1.4 , 1.3 , 1.5 , 1.7 , 1.2 , 1.2 , 1.2 , 1.1 , 1.2 , 1.4 , 0.9 , 1.0 , 0.6
Europe,Southern Europe,San Marino,WHO, -   , -   , 3.6 , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,,
Europe,Southern Europe,Serbia,EUR/CTS, 2.4 , 2.6 , 2.1 , 1.9 , 1.8 , 1.6 , 1.7 , 1.9 , 1.5 , 1.7 , 1.4 , 1.5 , 1.2 , 1.6 , 1.4 , 1.2 , 1.4
Europe,Southern Europe,Slovenia,UNSDC/CTS/SDG, 1.8 , 1.4 , 1.8 , 1.1 , 1.4 , 1.0 , 0.6 , 1.2 , 0.5 , 0.6 , 0.7 , 0.8 , 0.7 , 0.6 , 0.8 , 1.0 , 0.5
Europe,Southern Europe,Spain,EUR/CTS, 1.4 , 1.4 , 1.3 , 1.4 , 1.2 , 1.2 , 1.1 , 1.1 , 0.9 , 0.9 , 0.9 , 0.8 , 0.8 , 0.6 , 0.7 , 0.7 , 0.6
Europe,Southern Europe,The former Yugoslav Republic of Macedonia,UNSDC/EUR/CTS, 2.3 , 2.7 , 2.9 , 3.4 , 2.4 , 2.1 , 2.2 , 2.0 , 1.7 , 1.7 , 2.1 , 1.4 , 1.4 , 1.1 , 1.6 ,,
Europe,Western Europe,Austria,EUR/UNSDC/CTS, 1.0 , 0.9 , 0.8 , 0.6 , 0.7 , 0.7 , 0.7 , 0.5 , 0.7 , 0.6 , 0.7 , 0.9 , 0.9 , 0.7 , 0.5 , 0.5 , 0.7
Europe,Western Europe,Belgium#,EUR/CTS, 2.1 , 2.7 , 3.1 , 2.2 , 2.6 , 2.1 , 2.1 , 2.0 , 1.9 , 1.7 , 1.7 , 1.9 , 1.8 , 1.8 , 1.9 , 1.9 ,
Europe,Western Europe,France,UNSDC/EUR/CTS, 1.8 , 1.7 , 1.9 , 1.6 , 1.6 , 1.6 , 1.4 , 1.6 , 1.6 , 1.3 , 1.3 , 1.4 , 1.2 , 1.2 , 1.2 , 1.6 , 1.4
Europe,Western Europe,Germany,UNSDC/CTS, 1.2 , 1.1 , 1.2 , 1.1 , 1.1 , 1.1 , 1.0 , 0.9 , 0.9 , 1.0 , 1.0 , 0.9 , 0.8 , 0.8 , 0.9 , 0.8 , 1.2
Europe,Western Europe,Liechtenstein,EUR/CTS, -   , -   , -   , -   , 2.9 , -   , -   , -   , 2.8 , -   , 2.8 , -   , -   , -   , 2.7 , -   , -
Europe,Western Europe,Luxembourg,EUR/UNECE/CTS, 0.9 , 2.0 , 1.4 , 0.7 , 0.4 , 0.9 , 1.5 , 1.5 , 1.6 , 1.0 , 2.0 , 0.8 , -   , 0.2 , 0.7 ,,
Europe,Western Europe,Monaco,UNSDC/CTS,, 3.1 ,,, 3.0 , 3.0 , 2.9 , -   , -   , -   , -   , -   , -   , -   ,, -   ,
Europe,Western Europe,Netherlands,NSO/CTS, 1.1 , 1.3 , 1.2 , 1.2 , 1.2 , 1.1 , 0.8 , 0.9 , 0.9 , 0.9 , 0.9 , 0.9 , 0.9 , 0.7 , 0.7 , 0.6 , 0.6
Europe,Western Europe,Switzerland,UNSDC/EUR/CTS, 1.0 , 1.2 , 1.2 , 1.0 , 1.1 , 1.0 , 0.8 , 0.7 , 0.7 , 0.7 , 0.7 , 0.6 , 0.6 , 0.7 , 0.5 , 0.7 , 0.5
Oceania,Australia and New Zealand,Australia,EUR/CTS/UNSDC, 1.9 , 1.8 , 1.9 , 1.7 , 1.5 , 1.3 , 1.4 , 1.2 , 1.2 , 1.2 , 1.0 , 1.1 , 1.1 , 1.1 , 1.0 , 1.0 , 0.9
Oceania,Australia and New Zealand,New Zealand#,NP/CTS, 1.3 , 1.3 , 1.5 , 1.1 , 1.1 , 1.5 , 1.2 , 1.1 , 1.2 , 1.5 , 1.0 , 0.9 , 0.9 , 1.0 , 1.0 ,,
Oceania,Melanesia,Fiji,INTP/NSO,,,, 3.1 , 2.8 , 2.8 , 2.7 , 2.5 , 2.0 , 3.4 , 2.3 , 2.3 , 2.3 , 2.2 , 2.3 ,,
Oceania,Melanesia,New Caledonia,NP,,,,,,, 3.4 , 5.0 , 4.5 , 3.2 ,,,,,,,
Oceania,Melanesia,Papua New Guinea,UNSDC/NP, 8.3 ,,,,,, 9.4 , 7.8 ,,,,,,,,,
Oceania,Melanesia,Solomon Islands,CTS,,,,, 4.4 , 5.5 , 4.8 , 5.3 , 3.8 ,,,,,,,,
Oceania,Melanesia,Vanuatu,WHO Estimate, 2.9 ,,,,, 2.5 ,,,,, 2.3 ,,,,, 2.1 ,
Oceania,Micronesia,Guam,NP, 1.3 , 5.1 , 1.3 , 5.1 , 5.7 , 4.4 , 6.9 , 0.6 , 0.6 , 3.1 , 1.9 , 2.5 ,,,,,
Oceania,Micronesia,Kiribati,MD/WHO, 3.6 , 4.7 ,,,,,,, 7.1 , 1.0 , 3.9 , 10.5 , 7.5 ,,,,
Oceania,Micronesia,Micronesia (Federated States of),WHO Estimate, 4.0 ,,,,, 4.6 ,,,,, 4.5 ,,,,, 4.7 ,
Oceania,Micronesia,Nauru,WHO Estimate,,,,,,,,,,,,, -   ,,,,
Oceania,Micronesia,Palau,WHO Estimate,,,,,,,,,,,,, 3.1 ,,,,
Oceania,Polynesia,American Samoa,NSO/SDG,, 1.7 , 11.9 , 5.1 , 6.7 , 10.1 , 6.8 , 1.7 , 5.3 , 3.6 , 9.0 , 9.0 , 3.6 , 5.4 , 5.4 , 7.2 , 5.4
Oceania,Polynesia,Cook Islands,SDG,,,,,,,,,,,,, 3.5 ,,,,
Oceania,Polynesia,French Polynesia,NP,,,,,,, 1.2 , 2.7 , 3.4 , 0.4 ,,,,,,,
Oceania,Polynesia,Niue,WHO Estimate,,,,,,,,,,,,, -   ,,,,
Oceania,Polynesia,Samoa,WHO,,,,,,,,,, 8.7 , 8.6 ,,, 3.1 ,,,
Oceania,Polynesia,Tonga,NP, 1.0 , 6.1 , 6.0 , 6.0 , 2.0 , 4.0 , 7.9 , 1.0 , 3.9 , 7.7 , 1.0 , 1.9 , 1.0 ,,,,
Oceania,Polynesia,Tuvalu,WHO,,, -   , -   , -   , -   , -   , -   , -   , -   , 9.5 , 9.4 , 18.6 ,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
