Senegal,SEN,nan,nan,9.3,nan,nan,nan,nan,8.5,nan,nan,nan,nan
Sierra Leone,SLE,nan,2.1,1.7,1.7,2.2,3,2.5,2.5,2.8,1.7,nan,nan
Togo,TGO,nan,nan,10.7,nan,nan,nan,nan,9.6,nan,nan,nan,nan
Anguilla,AIA,16.6,8.1, -   ,38.8,30.4,7.5,7.4, -   , -   ,35.4,7,27.7
Antigua and Barbuda,ATG,5.7,4.5,3.4,12.2,18.6,17.3,17.1,6.3,nan,10.3,nan,nan
Aruba,ABW,4.1,2,6,5,3,4.9,3.9,3.9,2,3.9,5.8,1.9
Bahamas,,15.8,13.6,15.8,18.2,22.8,20.9,24.5,26.1,34.6,29.8,31.5,32.2
Barbados,BRB,12.1,8.1,10.6,12.7,9.1,8.3,6.8,11.1,9.6,7.8,8.5,8.8
British Virgin Islands,VGB,9.1,17.7,nan,8.4,nan,nan,nan,nan,nan,nan,nan,nan
Cayman Islands,CYM,6.5,10.6,6.2,2,3.9,7.6,14.7,16.2,nan,nan,8.6,8.4
Cuba,CUB,5.7,5.9,6.1,5.1,5,4.6,5,4.5,4.7,5.5,5.9,5.2
Cura�ao,,33.6,32,20.1,13.6,19.2,nan,nan,nan,nan,nan,nan,nan
Dominica,DMA,11.4,11.4,11.3,7.1,9.9,9.8,18.3,21,8.4,nan,nan,nan
Dominican Republic,DOM,21.2,24.6,25.9,22.9,22.2,24.8,24.3,25,25.1,22.3,19.2,17.4
Grenada,GRD,8.8,5.8,10.7,11.6,10.6,15.4,6.7,9.6,3.8,13.3,5.7,7.5
Guadeloupe,,nan,6,5.2,5.4,6.5,7.2,8,nan,nan,nan,nan,nan
Haiti,HTI,nan,nan,nan,nan,5.1,5.1,6.1,6.8,9,10,nan,nan
Jamaica,JAM,35.9,53.9,61,48.5,57.1,58,60,51.4,40,38.7,42.1,35.1
Martinique,,nan,4.8,4.8,5.8,5.8,4.3,2.8,nan,nan,nan,nan,nan
Montserrat,MSR, -   , -   ,20.9,20.6,nan,20.4,nan,nan,nan,19.9,nan,nan
Puerto Rico,PRI,20.8,21.1,20.5,19.9,19.5,21.8,24.2,27.4,31.4,27.2,24.5,19
Saint Kitts and Nevis,KNA,21.1,22.9,16.5,34.5,32.1,45.7,53.1,40.8,65.4,34.2,nan,nan
Saint Lucia,LCA,22.4,22.8,25,26,17.3,23,22.8,25.5,26.5,22.3,18.8,19.3
Saint Vincent and the Grenadines,VCT,16.6,26.7,23.9,18.4,36.7,14.7,21.1,22.9,19.2,25.6,nan,nan
Trinidad and Tobago,TTO,17.8,20.1,29.8,28.5,29.9,41.6,38.4,35.6,26.4,28.3,30.3,29.9
Turks and Caicos Islands,TCA, -   ,nan, -   ,nan,7,6.8,6.6,nan,nan,nan,12.1,5.9
United States Virgin Islands,VIR,28.6,34.2,34.3,40,40.1,43.1,47,52.8,42.5,49.3,nan,nan
Belize,BLZ,24.9,28.6,28.6,31.6,32.5,33.6,30.9,40.1,37.7,43.1,28.8,35
Costa Rica,CRI,7.3,6.7,7.9,8.1,8.4,11.6,11.7,11.6,10.3,8.7,8.7,10
El Salvador,SLV,56.2,64.9,64.4,64.8,57.5,52,71.4,64.7,70.6,41.7,40.2,62.4
Guatemala,GTM,33.9,35.2,40.8,43.9,42.2,44.9,45.4,40.7,38,33.8,33.7,31.4
Honduras,HND,57.9,50.5,43.6,41.3,46.5,56.6,65.7,76.1,85.1,84.3,74.3,66.9
Mexico,MEX,9.5,8.7,9.1,9.5,7.9,12.3,17.1,22,22.9,21.5,18.8,16.1
Nicaragua,NIC,12.1,12.2,13.6,13.2,12.9,13.2,14.2,13.7,12.7,11.5,10,8.7
Panama,PAN,10.5,9.4,10.9,6.5,8.1,14,15.7,12.6,14.8,16.9,17.3,14.5
Bermuda,BMU,3.1,1.5,3.1,4.6,4.6,7.7,9.3,10.9,12.6,9.5,8,6.4
Canada,CAN,1.7,2,2.1,1.9,1.8,1.8,1.8,1.6,1.8,1.6,1.4,1.5
Greenland,GRL,8.8,19.3,17.6,14,14.1,14.1,17.6,19.4,1.8,14.2,12.4,7.1
Saint Pierre and Miquelon,SPM,nan,nan,nan, -   , -   ,16,15.9,nan,nan,nan,nan,nan
United States of America,USA,5.7,5.5,5.7,5.8,5.7,5.4,5,4.8,4.7,4.7,4.5,4.5
Argentina,ARG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7.5
Bolivia (Plurinational State of),,nan,nan,5.2,5.2,8.2,8.6,8.4,12.8,12.3,11.9,9,8.9
Brazil,BRA,25.7,24,23.3,23.9,23.4,23.8,22.8,22,24.2,26.5,26.8,28
Chile,CHL,3.2,nan,3.6,3.6,3.7,3.5,3.7,3.2,3.7,2.5,3.2,3.6
Colombia,COL,55.8,47.3,41.8,39.9,38.8,35.9,34.8,33.7,34.8,35.1,32.6,27.9
Ecuador,ECU,14.6,17.7,15.4,17.1,16,18,17.9,17.6,15.4,12.5,11,8.2
French Guiana,,nan,29.6,22.1,19.9,12.9,14.4,13.2,nan,nan,nan,nan,nan
Guyana,GUY,27.8,17.4,18.9,20.4,15.4,21.2,15.7,18.8,17.4,18.5,20.4,19.5
Paraguay,PRY,22.9,21.2,15.3,12.6,13.1,13.8,13.4,11.9,10.4,10.2,9.3,8.8
Peru,PER,nan,nan,nan,nan,nan,nan,nan,nan,5.4,6.5,6.6,6.7
Suriname,SUR,12.3,9.3,13.8,12.3,8.8,8.3,nan,nan,nan,nan,nan,nan
Uruguay,URY,5.9,6,5.7,6.1,5.8,6.6,6.7,6.1,5.9,7.9,7.6,7.8
Venezuela (Bolivarian Republic of),,43.8,36.9,37.2,45,47.5,51.8,48.9,45.1,47.8,53.8,nan,61.9
Kazakhstan*,,13.1,13.6,nan,nan,nan,11.3,10.9,8.5,8.5,7.5,6.5,5.2
Kyrgyzstan,KGZ,8.4,8.3,8.3,8.2,8.2,8.2,7.8,19.8,9,5.4,3.6,3.7
Tajikistan,TJK,2.5,2.1,2.3,2.8,1.8,1.4,1.3,2.4,1.6,nan,nan,nan
Turkmenistan,TKM,5,4.4,4.3,4.2,nan,nan,nan,nan,nan,nan,nan,nan
Uzbekistan,UZB,3.7,3.7,3.4,3.2,3,3,nan,nan,nan,nan,nan,nan
China,CHN,1.9,1.9,1.6,1.4,1.2,1.1,1.1,1,0.9,0.8,0.8,0.7
China. Hong Kong Special Administrative Region,,0.8,0.7,0.5,0.5,0.3,0.5,0.7,0.5,0.2,0.4,0.9,0.4
China. Macao Special Administrative Region,,1.7,0.8,0.8,2,1.2,0.8,1.1,0.4,0.7,0.7,0.2, -   
China. Taiwan Province of China,,nan,nan,nan,1,0.8,0.8,0.8,0.8,nan,0.8,0.7,nan
Democratic People's Republic of Korea###,,nan,nan,5,nan,nan,nan,nan,4.8,nan,nan,nan,nan
Japan,JPN,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3
Mongolia,MNG,13.9,13.3,15.8,13.1,11.3,8.1,8.2,8.8,9.6,7.1,7.1,7.3
Republic of Korea,,nan,nan,nan,nan,nan,nan,nan,nan,0.9,0.8,0.7,0.7
Brunei Darussalam,,0.8,0.6,0.5,0.8,0.8,0.3,0.8,0.3,0.3,1,0.5,nan
Cambodia,KHM,4,3.9,3.4,3,2.9,2.4,2.3,2.3,1.8,nan,nan,nan
Indonesia,IDN,0.7,0.6,nan,nan,nan,0.6,0.5,0.4,0.6,0.6,0.5,0.5
Lao People's Democratic Republic,,nan,nan,9.6,nan,nan,nan,nan,8,nan,nan,nan,nan
Malaysia,MYS,2.3,2,2.4,2.2,2.4,2.2,2,1.9,1.9,2.1,2.1,nan
Myanmar,MMR,1.6,1.5,1.4,1.6,1.5,1.6,1.8,1.6,2.1,2.8,2.4,2.4
Philippines*,,7.8,7.5,7.5,7.1,6.7,6.4,9.9,9.5,9.1,8.8,9.3,9.7
