Region,Subregion,Country/territory,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,,Israel,,"50,171","51,114","50,866","45,025","45,432",,"46,007","43,069",,,
,,Jordan,,,"14,677","15,694",,,,,,,,
,,Kuwait,,641,595,632,732,644,686,,,,,
,,Lebanon,,,,,,"7,950","9,100","9,496","8,956","8,658","8,222","8,514"
,,Oman,,,,,"1,790","2,083",,,,,,
,,Qatar,291,298,,,,,,,,,,
,,State of Palestine*,"5,283","5,812","6,572",,,,263,286,340,347,,
,,Syrian Arab Republic,"5,390","6,365","6,157","5,543",653,559,,,,,,
,,Turkey,"91,997","97,145","105,721","138,937","121,913","166,430","194,059","220,882","238,395","262,330",,
,,United Arab Emirates,,,717,758,,,,,,378,311,316
,,Yemen,,,,,,,25,,,,,
,,Iraq (Central Iraq),,,,,,"13,321","17,084","25,847","28,344","32,954","27,935","25,008"
Europe,Eastern Europe,Belarus,"4,032","1,970","1,915","1,726","1,657","1,442","1,318","1,158","1,003",907,852,830
,,Bulgaria,"3,806","3,711","3,656","2,976","3,173","3,216","3,122","3,038","2,462","2,410","2,470","2,533"
,,Czech Republic,,"23,579","21,684","19,171","19,551","17,875","16,887","18,073","19,409","18,358","18,689","16,949"
,,Hungary,"11,442","12,514","12,339","11,516","11,148","12,757","12,787","14,569","14,212","13,973","13,377","13,475"
,,Poland,,,,,,,"12,559","11,011","10,703","9,721","8,571","7,128"
,,Republic of Moldova*,,,395,409,408,385,369,416,360,325,324,320
,,Romania*,"9,641","9,201","8,898","9,459","9,586","9,457","9,072","12,301","12,299","17,219","17,572","2,279"
,,Russian Federation,,"57,453","57,863","51,429","47,348","45,436","43,112","39,745","38,512","37,091","34,786","32,899"
,,Slovakia,"4,076","3,810","3,896","3,200","2,967","2,702","2,618","2,426","2,227","2,183","2,017","1,957"
,,Ukraine,"5,703","5,538","6,707","6,464","5,716","4,984","5,103","4,029",,,,
,Northern Europe,Denmark,"10,894","11,005","11,117","11,628","11,552","11,203","10,573","10,598","10,373","9,557","9,260","9,295"
,,Estonia,,,132,141,145,140,106,103,104,99,99,77
,,Finland*,"28,835","29,782","30,467","30,864","34,614","34,778","32,878","33,063","40,154","38,213","35,503","32,919"
,,Iceland,,,,56,50,77,79,57,60,74,92,
,,Ireland,"11,792","12,255","12,479","13,737","15,147","16,186","15,580","15,038","14,709","13,566","12,644","13,206"
,,Latvia*,883,872,"1,100","1,549","1,256","1,346","1,215","1,226","1,161","1,325",458,569
,,Lithuania,543,454,407,340,287,251,220,245,206,178,211,204
,,Norway*,"2,804","2,884","2,961","3,185","3,312","3,279","3,093","2,925","2,837","2,781","2,566","2,377"
,,Sweden,"65,177","67,089","72,645","77,019","82,262","84,566","86,281","87,854","89,457","87,052","80,374","83,324"
,,United Kingdom (England and Wales),"455,514","513,173","541,455","504,718","450,766","419,119","399,713","366,878","336,867","310,953","321,533","372,647"
,,United Kingdom (Northern Ireland),"1,116","1,089","1,095","1,164","1,148","1,549","1,605","1,451","1,446","1,278","1,093","1,171"
,,United Kingdom (Scotland)*,"62,330","80,486","78,601","84,692","79,523","79,892","5,621","5,493","4,693","3,643","3,268","3,166"
,Southern Europe,Albania,,,165,246,219,363,379,178,169,156,163,132
,,Andorra,,,,,83,105,128,98,144,163,90,123
,,Bosnia and Herzegovina*,,,"1,369","1,498","1,566","1,474",,505,652,618,577,592
,,Croatia,"1,249","1,153","1,153","1,069","1,093","1,128","1,059",986,873,903,823,766
,,Greece,"7,663","7,606","7,777","7,399","7,788","8,008","7,869","7,636","5,024","4,590","5,611","5,574"
,,Italy,,"51,823","56,629","59,143","63,602","65,791","65,611","64,866","68,500","69,527","66,317","66,178"
,,Kosovo under UNSCR 1244,,,,,,"3,376","3,539","3,760","3,743","3,805",653,911
,,Malta*,,,,,,196,173,180,181,174,218,160
,,Montenegro*,141,150,155,164,,196,186,193,161,168,173,129
,,Portugal,"44,304","41,716","39,220","39,998","37,389","33,494","33,205","30,816","28,775","27,178","25,698","24,869"
,,Serbia,,,"1,614","1,657","1,681","1,582","1,442","1,391","1,309","1,323","1,286","1,147"
,,Slovenia,"2,400","2,379","2,304","2,431","2,482","2,135","2,177","2,182","1,974","2,032","1,849","1,657"
,,Spain*,,,"172,824","180,706","70,536","72,803","80,910","25,077","18,290","17,353","16,701","16,776"
,,The former Yugoslav Rep. of Macedonia,,,,441,349,213,228,248,239,211,216,215
,,Holy See,,,,,,,0,0,0,0,0,0
,Western Europe,Austria,,"3,584","3,611","3,577","3,878","3,945","4,023","3,606","3,897","4,030","3,734","3,640"
,,Belgium,"61,959","64,811","67,418","70,886","74,289","76,314","77,665","77,741","78,767","72,251","69,632","69,162"
,,France*,"135,003","137,679","148,651","164,359","175,886","187,937","220,126","220,372","219,645","222,061","221,899","227,338"
,,Germany*,"445,727","474,575","494,329","510,775","523,283","518,499","149,301","142,903","139,091","136,077","127,869","125,752"
,,Liechtenstein,61,70,71,77,68,88,90,77,78,69,103,120
,,Luxembourg,,,,"1,811","2,030","2,317","2,350","2,475","2,744","2,994","3,018","3,187"
,,Monaco,94,129,155,140,,,,,,,,
,,Netherlands*,"53,500","55,300","67,060","69,185","71,570","69,005","65,690","60,280","59,425","57,325","52,855","50,335"
,,Switzerland*,"6,732","8,198","8,099","9,272","9,644","8,893",524,487,487,597,568,609
Oceania,Australia and New Zealand,Australia,,,,,,"68,019","71,972","71,914","69,473",,,
,,New Zealand,,,"9,683","10,140","11,569","11,948","11,941","11,260","10,806","10,165","8,951","9,900"
,Melanesia,Solomon Islands,,"1,207","1,213","1,168","1,184","1,097",,,,,,
