country,ISO_A3,value
New Caledonia,NCL,255016.66666666666
Niger,NER,17156020.0
Nigeria,NGA,163265640.55555555
Nicaragua,NIC,5805291.444444444
Netherlands,NLD,16670052.222222222
Norway,NOR,4952677.555555556
Nepal,NPL,27377427.888888888
Nauru,NRU,10600.444444444445
New Zealand,NZL,4386277.777777778
OECD members,OED,1252263537.5555556
Oman,OMN,3324478.4444444445
Other small states,OSS,26876927.0
Pakistan,PAK,174480278.0
Panama,PAN,3709455.4444444445
Peru,PER,29793839.222222224
Philippines,PHL,95381897.66666667
Palau,PLW,20646.11111111111
Papua New Guinea,PNG,7271050.444444444
Poland,POL,38067275.333333336
Pre-demographic dividend,PRE,763180213.7777778
Puerto Rico,PRI,3657793.777777778
|Korea, Dem. People’s Rep.|,PRK,24723960.333333332
Portugal,PRT,10503480.555555556
Paraguay,PRY,6297937.222222222
West Bank and Gaza,PSE,3940531.888888889
Pacific island small states,PSS,2242558.4444444445
Post-demographic dividend,PST,1078537014.4444444
French Polynesia,PYF,269491.3333333333
Qatar,QAT,1901942.6666666667
Romania,ROU,20216547.888888888
Russian Federation,RUS,143196468.8888889
Rwanda,RWA,10524982.666666666
South Asia,SAS,1653268986.3333333
Saudi Arabia,SAU,28320358.444444444
Sudan,SDN,35296416.0
Senegal,SEN,13354723.111111112
Singapore,SGP,5154701.444444444
Solomon Islands,SLB,539881.1111111111
Sierra Leone,SLE,6618425.555555556
El Salvador,SLV,6194880.888888889
San Marino,SMR,31499.88888888889
Somalia,SOM,12432354.333333334
Serbia,SRB,7240812.333333333
Sub-Saharan Africa (excluding high income),SSA,904115562.0
South Sudan,SSD,10412834.111111112
Sub-Saharan Africa,SSF,904204398.4444444
Small states,SST,36148355.666666664
Sao Tome and Principe,STP,179017.33333333334
Suriname,SUR,531546.3333333334
Slovak Republic,SVK,5399277.222222222
Slovenia,SVN,2047017.3333333333
Sweden,SWE,9456514.666666666
Eswatini,SWZ,1226647.6666666667
Sint Maarten (Dutch part),SXM,35251.11111111111
Seychelles,SYC,88836.44444444444
Syrian Arab Republic,SYR,20092654.222222224
Turks and Caicos Islands,TCA,31634.222222222223
Chad,TCD,12333975.888888888
East Asia & Pacific (IDA & IBRD countries),TEA,1956086156.8888888
Europe & Central Asia (IDA & IBRD countries),TEC,444091498.1111111
Togo,TGO,6691114.888888889
Thailand,THA,67491510.66666667
Tajikistan,TJK,7830753.111111111
Turkmenistan,TKM,5193417.888888889
Latin America & the Caribbean (IDA & IBRD countries),TLA,587116382.1111112
Timor-Leste,TLS,1141237.2222222222
Middle East & North Africa (IDA & IBRD countries),TMN,338227122.4444444
Tonga,TON,104456.11111111111
South Asia (IDA & IBRD),TSA,1653268986.3333333
Sub-Saharan Africa (IDA & IBRD countries),TSS,904204398.4444444
Trinidad and Tobago,TTO,1334839.888888889
Tunisia,TUN,10771938.888888888
Turkey,TUR,73641351.8888889
Tuvalu,TUV,10626.222222222223
Tanzania,TZA,47706889.0
Uganda,UGA,35208198.777777776
Ukraine,UKR,45767391.777777776
Upper middle income,UMC,2460590387.4444447
Uruguay,URY,3385471.0
United States,USA,311441060.4444444
Uzbekistan,UZB,29101588.888888888
St. Vincent and the Grenadines,VCT,109286.77777777778
|Venezuela, RB|,VEN,29446305.888888888
British Virgin Islands,VGB,27685.88888888889
Virgin Islands (U.S.),VIR,108180.22222222222
Vietnam,VNM,89570893.55555555
Vanuatu,VUT,242036.0
World,WLD,7017835660.777778
Samoa,WSM,187834.22222222222
Kosovo,XKX,1784649.0
|Yemen, Rep.|,YEM,24287859.444444444
South Africa,ZAF,52412745.777777776
Zambia,ZMB,14328267.222222222
Zimbabwe,ZWE,14458489.0
